Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
CityCash,Mumbai,Focusses on creating a transit led micro-payments ecosystem,Orios Venture Partners,2020,1000000.0,Seed Round,Finance and FinTech
HomeLane,Chennai,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",2020,1000000.0,Series D,Real Estate and Construction
HungerBox,Bengaluru,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",IIFL Income Opportunities Fund,2020,6700000.0,Series C,Agriculture and Food
Eduvanz,Mumbai,Digital finance NBFC that provides affordable education loans,Sequoia India,2020,5000000.0,Series A,Finance and FinTech
DocSumo,Mumbai,Platform helps to automate and analyse financial data,"Better Capital, TechStars, Barclays.",2020,220000.0,Seed Round,Technology
Chingari,Bengaluru,Short video platform,"AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",2020,1300000.0,Seed Round,Media and Entertainment
Bolo Indya,Gurugram,User-generated content platform,"Eagle10 Ventures, India Accelerator, HNIs",2020,300000.0,Pre-Series A,Media and Entertainment
Wobot Intelligence,Delhi,AI backed video analytics platform,Sequoia Capital India,2020,2500000.0,Pre-Series A,Technology
DrinkPrime,Bengaluru,Subscription-based Water purifier startup,Sequoia Surge,2020,2879000.0,Pre-Series A,Appliance
Probus Smart Things,Delhi,Platform for monitoring distribution sub-station performance and operations,Unicorn India Ventures,2020,0.0,Seed Round,Technology
CrowdPouch,Bengaluru,A reward-based fundraising and preselling platform,Elina Investments,2020,0.0,Angel,Technology
Rebel Foods,Mumbai,Cloud kitchen platform,Coatue Management,2020,26500000.0,Series E2,Agriculture and Food
Hevo,Bengaluru,Data pipeline startup,"Qualgro, Lachy Groom",2020,8000000.0,Series A,Technology
BigSpoon Foods,Ahmedabad,Cloud kitchen startup,"Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2020,2000000.0,Pre-Series A,Agriculture and Food
Chingari,Bengaluru,Homegrown short video platform,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",2020,1000000.0,Seed Round,Media and Entertainment
IPHM Services,Mumbai,It helps design programs and workshops for the psychological well-being of individuals,Indian Angel Fund,2020,0.0,Seed Round,Healthcare and Wellness
VilCart,Bengaluru,"Retail industry in rural India through technology, supply chain, and logistics facilities.","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",2020,0.0,Bridge,E-Commerce and Retail
Toppr,Mumbai,It provides AI-based after school learning app for K12,Foundation Holdings,2020,46761000.0,Series D,Education
Pickright Technologies,Bengaluru,Marketplace for stock market investors and advisors,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",2020,175000.0,Seed Round,Finance and FinTech
WYN Studio,Gurugram,It creates video content and podcasts,India Angel Fund,2020,0.0,Seed Round,Media and Entertainment
Entri,Kochi,Local language learning startup,Good Capital,2020,1700000.0,Pre-Series A,Education
MPowered,Gurugram,Asset Management Solutions,"Ashok Nichani, Shelly Nichani",2020,21000000.0,Pre-Series A,Technology
Ather Energy,Bengaluru,Electric scooter manufacturer,Hero MotoCorp,2020,11241000.0,Series C,Transportation and Mobility
Vegrow,Bengaluru,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Matrix Partners India, Ankur Capital",2020,2500000.0,Seed Round,Agriculture and Food
Finn,Bengaluru,Neobanking startup that digitises all banking transactions,"Unicorn India, PointOne Capital, Astir Ventures",2020,0.0,Pre-Series A,Finance and FinTech
StyleDotMe,Gurugram,"mirrAR, helps jewellers sell jewellery with no physical inventory",Survam Partners,2020,467000.0,Pre-Series A,Technology
ThriveFNC,Pune,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Rajesh Ranavat,2020,0.0,Seed Round,Healthcare and Wellness
Vedantu,Bengaluru,Onine learning platform,Coatue,2020,100000000.0,Series D,Education
Magicpin,Gurugram,"It is a local discovery, rewards, and commerce platform",Samsung Venture Investment Corporation,2020,7000000.0,Series D,E-Commerce and Retail
Yumlane,Mumbai,Online retailer that offers a range of on-the-go hot snacking and meals,Jetty Ventures,2020,1000000.0,Pre-Series A,Technology
Protinus Fashion Networking Pvt Ltd,Mumbai,Owns and operates fashion commerce and retail management platform 6Degree,SucSEED Ventures,2020,0.0,Pre-Series A,Consumer Goods
Uable,Bengaluru,Online life skills development platform for children,3one4 Capital,2020,0.0,Seed Round,Education
Plum,Bengaluru,Provides health benefits to corporates,Incubate Fund,2020,927000.0,Seed Round,Healthcare and Wellness
IncNut Digital,Hyderabad,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,RPSG Ventures,2020,4000000.0,Series A,E-Commerce and Retail
GigIndia,Pune,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,Incubate Fund India,2020,971000.0,Pre-Series A,Technology
Piggy Ride,Bengaluru,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities","JAFCO Asia, Artha Venture Fund",2020,1862000.0,Pre-Series A,Technology
NOTO,Mumbai,A brand that makes healthy icecream,WEH Ventures,2020,0.0,Pre-Seed,Agriculture and Food
Cuemath,Bengaluru,It helps students to learn math online,Trifecta Capital,2020,2888000.0,Series B,Education
Earth Energy EV,Mumbai,Electric vehicles startup,LR Joshi,2020,0.0,Seed Round,Transportation and Mobility
Blue Sky Analytics,Gurugram,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",2020,1200000.0,Seed Round,Artificial Intelligence
Decentro,Bengaluru,Automated API-based platform that enables financial integrations.,Y Combinator,2020,15500000.0,Series A,Finance and FinTech
Zolostays,Bengaluru,It offers affordable housing apartments to young professionals and students,"Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",2020,56000000.0,Series C,Real Estate and Construction
Frontier Markets,Jaipur,Women entreprenuers sells products and services to rural India,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2020,2250000.0,Pre-Series A,E-Commerce and Retail
Aye Finance,Gurugram,A finance lender to SMEs,Invest in Vision,2020,16753000.0,Series E,Finance and FinTech
Forbidden Foods,Delhi,Packaged snacks company,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",2020,1000000.0,Seed Round,Agriculture and Food
Gobbly,Gurugram,A contactless retail store filled with fruits and veggies,Sauce vc,2020,500000.0,Seed Round,E-Commerce and Retail
Mitron,Bengaluru,Short Video and Social Platform,"3One4 Capital, LetsVenture",2020,267000.0,Seed Round,Media and Entertainment
Inspektlabs,Delhi,Focuses on building computer vision products for physical asset inspections,"Better Capital, Titan Capital",2020,600000.0,Pre-Series A,Technology
Big Bang Boom Solutions,Chennai,It developed integrated intellectual properties for defense,Mumbai Angels Network,2020,1000000.0,Series A,Technology
Flinto,Chennai,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,Lightbox Ventures,2020,7200000.0,Pre-Series B,Education
Zetwerk,Bengaluru,B2B marketplace that connects manufacturing companies for industrial equipements,Greenoaks,2020,21000000.0,Series C,E-Commerce and Retail
ChitMonks,Hyderabad,Offers enterprise private platform for chit fund firms,Unicorn India Ventures,2020,650000.0,Pre-Series A,Finance and FinTech
Walrus,Bengaluru,It provides banking solutions for teens and young adults,Better Capital,2020,0.0,Pre-Seed,Finance and FinTech
goDutch,Mumbai,Group Payments platform,"Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",2020,1700000.0,Seed Round,Finance and FinTech
Rusk Media,Delhi,It creates video content,"InfoEdge Venture Fund, Sprout Venture Partners",2020,0.0,Seed Round,Media and Entertainment
Bold Care,Mumbai,Digital platform that offers sexologist consultations for  men,"Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",2020,0.0,Pre-Seed,Healthcare and Wellness
High Street Essentials,New Delhi,The parent company of women's fashion brands FabAlley and Indya,"SAIF Partners, India Quotient",2020,2743000.0,Pre-Series C,E-Commerce and Retail
Slice,Bengaluru,A financial platform for youngsters,Gunosy,2020,6082000.0,Pre-Series B,Finance and FinTech
Bombay Play,Bengaluru,It designs and creates online multiplayer games,"Leo capital, Ramakant Sharma",2020,1500000.0,Pre-Series A,Media and Entertainment
Aye Finance,Gurugram,A finance lender to SMEs,"Capital G, Alphabet's Independent growth fund",2020,27700000.0,Series E,Finance and FinTech
Aether Biomedical,Delhi,"Medical robotics startup, focussed on developing rehabilitation devices",Chiratae Ventures,2020,0.0,Seed Round,Healthcare and Wellness
GoMechanic,Delhi,Find automobile repair and maintenance service providers,Pawan Munjal,2020,0.0,Series B,Transportation and Mobility
Drishti Technologies,Bengaluru,"AI-based video analytics, data, and insights bring benefits to manufacturers",Sozo Ventures,2020,25000000.0,Series B,Technology
Instasolv,Noida,It is a doubt-solving app for students from Class 6 to 12,Undisclosed,2020,2000000.0,Pre-Series A,Education
Jai Kisan,Mumbai,A platform that caters the need of customers in rural areas,"Arkam Ventures, Nabventures",2020,3937000.0,Pre-Series A,Finance and FinTech
Biomoneta,Bengaluru,It develops germicidal technologies,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",2020,0.0,Seed Round,Healthcare and Wellness
Edvizo,Bengaluru,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Inflection Point Ventures,2020,150000.0,Seed Round,Education
Servify,Mumbai,Operates device management and support platform,"Iron Pillar, Blume Ventures",2020,11370000.0,Series C,Technology
Innoviti,Bengaluru,Digital payments solutions company,"Entrepreneurial Development Bank, Bessemer Venture Partners",2020,0.0,Series C,Technology
Waycool,Chennai,Food development and distribution services,Induslnd Bank,2020,5500000.0,Series C,Agriculture and Food
Ameliorate Biotech,Bengaluru,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",2020,264000.0,Angel,Healthcare and Wellness
HealthPlix,Bengaluru,It provides clinical software for doctors,"JSW Ventures, Chiratae Ventures, Kalaari Capital",2020,6000000.0,Series B,Healthcare and Wellness
YoloBus,Gurugram,Intercity bus service startup,Nexus Venture Partners,2020,3300000.0,Series A,Transportation and Mobility
Pocket52,Bengaluru,An online poker playing platform,Gameskraft,2020,1750000.0,Series A,Media and Entertainment
Timios,Bengaluru,Provides healthy snacks for kids,Rangsons Technologies,2020,0.0,Pre-Series A,Agriculture and Food
Wooden Street,Jaipur,It enables to order custom furniture online,IAN Fund,2020,3000000.0,Series A,E-Commerce and Retail
BankBazaar,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,WSV Capital,2020,5967000.0,Series D,Finance and FinTech
Knorish,Delhi,All-in-one knowledge commerce SaaS platform,100x VC,2020,323000.0,Pre-Series A,Education
Nutrova,Mumbai,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",DSG Consumer Partners,2020,0.0,Pre-Series A,Agriculture and Food
Cube Wealth,Mumbai,A digital wealth management services,"Beenext, Asuka Holding",2020,500000.0,Mid Series,Technology
IVF Access,Bengaluru,It provdes IVF treatments,Vertex Ventures SEA & India,2020,5000000.0,Series A,Healthcare and Wellness
Hoi Foods,Delhi,Quality food solution,Crowd Fund,2020,2000000.0,Pre-Series A,Agriculture and Food
Ola Financial Services,Bengaluru,It operates Ola Money,Matrix Partners,2020,27000000.0,Series A,Finance and FinTech
Swiflearn,Gurugram,Learning platform for K-10 students looking for personalised learning,"Stellaris Venture Partners, Venture Highway",2020,0.0,Seed Round,Education
Remedo,Delhi,The platform connects doctors with patients,River Rock Ventures. Inflection Point Ventures,2020,0.0,Pre-Series A,Healthcare and Wellness
Toch,Mumbai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",2020,1000000.0,Pre-Series A,Technology
Gram Cover,Noida,It provides insurance products in rural areas,"EMVC, Flourish, Omidyar Network India",2020,0.0,Pre-Series A,Technology
Euler Motors,Delhi,Startup focusses on electric vehicles,Inventus III India Fund,2020,2530000.0,Series A,Transportation and Mobility
Riskcovry,Mumbai,Offers various insurance products,"Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",2020,0.0,Pre-Series A,Technology
NWNT (No Worry No Tension Healthcare),Delhi,Mental healthtech startup,Amit Burman,2020,0.0,Pre-Series A,Healthcare and Wellness
Leap Club,Gurugram,Community led professional network for women,"Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",2020,340000.0,Pre-Seed,E-Commerce and Retail
